success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,stimulus,response,load_time,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,view_history,type,Congruency,letter,webgazer_data,webgazer_targets,correct
true,fullscreen,0,2563,0.0-0.0,H_a97w8r2xm921u6y,,,,,,,,,,,,,,,,
,image-button-response,1,4322,0.0-1.0,H_a97w8r2xm921u6y,1756.7150000249967,../../assets/images/overview.png,0,,,,,,,,,,,,,
,survey-likert,2,8364,0.0-2.0,H_a97w8r2xm921u6y,4038.734999950975,,[object Object],,,,,,,,,,,,,
,survey-text,3,12757,0.0-3.0,H_a97w8r2xm921u6y,4387.599999899976,,[object Object],,,,,,,,,,,,,
,webgazer-init-camera,4,20281,0.0-4.0,H_a97w8r2xm921u6y,,,,2926,,,,,,,,,,,,
true,fullscreen,5,22578,0.0-5.0,H_a97w8r2xm921u6y,,,,,,,,,,,,,,,,
,html-button-response,6,23838,0.0-6.0,H_a97w8r2xm921u6y,1257.9850000329316,"<div style=""width: 800px;border: thin solid #0000FF ; border-radius: 10px ;"">
		<ul>
		<li style=""text-align:left; padding:8px; font-size: 18px"">    Now we will calibrate the web gazer.</li>
		<li style=""text-align:left; padding:8px; font-size: 18px"">It will take 2-3 minutes.</li>
		<li style=""text-align:left; padding:8px; font-size: 18px"">On the next screen you will see a sequence of black dots. There will be 20 of them.</li>
		<li style=""text-align:left; padding:8px; font-size: 18px"">Keep your head steady and look at each dot for atleast 3 seconds, then click the dot.</li>
		</ul></div>",0,,,,,,,,,,,,,
,webgazer-calibrate,7,38103,0.0-7.0-0.0,H_a97w8r2xm921u6y,,,,,,,,,,,,,,,,
,webgazer-calibrate,8,54074,0.0-7.0-0.1,H_a97w8r2xm921u6y,,,,,,,,,,,,,,,,
,html-button-response,9,55383,0.0-8.0,H_a97w8r2xm921u6y,1307.7349999221042,"<div style=""width: 800px;border: thin solid #0000FF ; border-radius: 10px ;"">
		<p>Let's see how accurate the eye tracking is. </p>
		<p>Keep your head still, and move your eyes to focus on each dot as it appears.</p>
		<p>You do not need to click on the dots. Just move your eyes to look at the dots.</p>
		",0,,,,,,,,,,,,,
,webgazer-validate,10,70109,0.0-9.0,H_a97w8r2xm921u6y,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","13.513513513513514,100,17.142857142857142,34.285714285714285","[object Object],[object Object],[object Object],[object Object]","25,25,25,75,75,25,75,75",18.08,,,,,,,
,html-button-response,11,71618,0.0-10.0,H_a97w8r2xm921u6y,1507.050000014715,"<div style=""width: 800px; padding: 50px; border-radius: 10px ;background-color: #eaf4f4""><p style=""font-size:20px"">Welcome to the Task 1:</p><h1>Stroop Color/Word</h1>",0,,,,,,,,,,,,,
,instructions,12,75547,0.0-11.0,H_a97w8r2xm921u6y,3928.4350000089034,,,,,,,,,"[object Object],[object Object],[object Object]",,,,,,
,html-keyboard-response,13,77096,0.0-12.0-0.0,H_a97w8r2xm921u6y,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">+</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,fixation,,,,,
