success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,stimulus,response,load_time,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,view_history,type,Congruency,letter,webgazer_data,webgazer_targets,correct
true,fullscreen,0,2318,0.0-0.0,Harsh_pcv47lw7uuykddj,,,,,,,,,,,,,,,,
,image-button-response,1,4474,0.0-1.0,Harsh_pcv47lw7uuykddj,2153.070000000298,../../assets/images/overview.png,0,,,,,,,,,,,,,
,survey-likert,2,9757,0.0-2.0,Harsh_pcv47lw7uuykddj,5281.114999903366,,[object Object],,,,,,,,,,,,,
,survey-text,3,15959,0.0-3.0,Harsh_pcv47lw7uuykddj,6194.359999964945,,[object Object],,,,,,,,,,,,,
,webgazer-init-camera,4,24754,0.0-4.0,Harsh_pcv47lw7uuykddj,,,,3245,,,,,,,,,,,,
true,fullscreen,5,26973,0.0-5.0,Harsh_pcv47lw7uuykddj,,,,,,,,,,,,,,,,
,html-button-response,6,28467,0.0-6.0,Harsh_pcv47lw7uuykddj,1491.1599999759346,"<div style=""width: 800px;border: thin solid #0000FF ; border-radius: 10px ;"">
		<ul>
		<li style=""text-align:left; padding:8px; font-size: 18px"">    Now we will calibrate the web gazer.</li>
		<li style=""text-align:left; padding:8px; font-size: 18px"">It will take 2-3 minutes.</li>
		<li style=""text-align:left; padding:8px; font-size: 18px"">On the next screen you will see a sequence of black dots. There will be 20 of them.</li>
		<li style=""text-align:left; padding:8px; font-size: 18px"">Keep your head steady and look at each dot for atleast 3 seconds, then click the dot.</li>
		</ul></div>",0,,,,,,,,,,,,,
,webgazer-calibrate,7,43158,0.0-7.0-0.0,Harsh_pcv47lw7uuykddj,,,,,,,,,,,,,,,,
,webgazer-calibrate,8,62817,0.0-7.0-0.1,Harsh_pcv47lw7uuykddj,,,,,,,,,,,,,,,,
,html-button-response,9,64098,0.0-8.0,Harsh_pcv47lw7uuykddj,1279.6800000360236,"<div style=""width: 800px;border: thin solid #0000FF ; border-radius: 10px ;"">
		<p>Let's see how accurate the eye tracking is. </p>
		<p>Keep your head still, and move your eyes to focus on each dot as it appears.</p>
		<p>You do not need to click on the dots. Just move your eyes to look at the dots.</p>
		",0,,,,,,,,,,,,,
